,year,team,scored,conceded,played,won,draw
0,2000,AC Milan,77,45,42,21,14
1,2000,Ajax Amsterdam,81,54,39,19,8
2,2000,Borussia Dortmund,46,52,37,12,10
3,2000,FC Barcelona,96,66,52,27,10
4,2000,FC Internazionale,57,42,40,17,13
5,2000,Juventus FC,58,39,40,21,11
6,2000,Manchester City,26,37,21,5,4
7,2000,Manchester United,120,48,54,37,11
8,2000,Paris Saint-Germain,70,62,44,16,14
9,2000,Real Madrid,100,62,54,31,11
10,2000,Sporting CP,61,37,40,22,10
11,2001,AC Milan,76,55,48,19,19
12,2001,Ajax Amsterdam,89,46,40,22,8
13,2001,Borussia Dortmund,76,37,44,24,12
14,2001,FC Barcelona,105,66,56,27,17
15,2001,FC Internazionale,80,57,46,24,10
16,2001,Juventus FC,85,41,46,26,14
17,2001,Manchester City,15,28,17,3,6
18,2001,Manchester United,99,58,51,26,11
19,2001,Paris Saint-Germain,51,35,41,14,18
20,2001,Real Madrid,113,64,57,32,13
21,2001,Sporting CP,81,41,41,24,6
22,2002,AC Milan,74,40,48,27,10
23,2002,Ajax Amsterdam,84,36,41,26,11
24,2002,Borussia Dortmund,82,50,48,24,14
25,2002,FC Barcelona,90,54,53,28,11
26,2002,FC Internazionale,92,53,49,28,14
27,2002,Juventus FC,80,32,45,27,12
28,2002,Manchester City,28,29,21,9,3
29,2002,Manchester United,115,53,57,36,11
30,2002,Paris Saint-Germain,59,34,41,20,10
31,2002,Real Madrid,101,56,52,26,16
32,2002,Sporting CP,67,41,37,21,9
33,2003,AC Milan,59,36,48,24,12
34,2003,Ajax Amsterdam,105,45,46,29,8
35,2003,Borussia Dortmund,66,52,44,18,13
36,2003,FC Barcelona,87,54,50,22,16
37,2003,FC Internazionale,73,50,47,21,15
38,2003,Juventus FC,99,52,48,29,10
39,2003,Manchester City,58,55,42,15,11
40,2003,Manchester United,103,38,48,37,5
41,2003,Paris Saint-Germain,43,31,37,17,10
42,2003,FC Red Bull Salzburg,2,11,4,1,0
43,2003,Real Madrid,120,62,55,36,12
44,2003,Sporting CP,59,37,38,21,9
45,2004,AC Milan,87,36,47,32,11
46,2004,Ajax Amsterdam,87,42,42,25,9
47,2004,Borussia Dortmund,47,45,34,13,9
48,2004,FC Barcelona,87,36,48,33,8
49,2004,FC Internazionale,92,64,50,19,22
50,2004,Juventus FC,76,40,46,30,8
51,2004,Manchester City,52,48,39,10,14
52,2004,Manchester United,78,48,49,24,15
53,2004,Paris Saint-Germain,51,42,44,19,15
54,2004,Real Madrid,83,63,49,25,9
55,2004,Sporting CP,76,40,40,23,9
56,2005,AC Milan,100,49,52,33,9
57,2005,Ajax Amsterdam,80,48,45,27,7
58,2005,Borussia Dortmund,53,46,34,16,10
59,2005,FC Barcelona,101,39,46,30,11
60,2005,FC Internazionale,84,39,51,32,11
61,2005,Juventus FC,92,37,49,35,7
62,2005,Manchester City,50,40,38,15,11
63,2005,Manchester United,76,36,48,27,12
64,2005,Paris Saint-Germain,40,37,38,15,11
65,2005,Real Madrid,87,49,47,29,6
66,2005,Sporting CP,79,54,48,26,6
67,2006,AC Milan,87,38,53,30,14
68,2006,Ajax Amsterdam,112,56,50,30,8
69,2006,Borussia Dortmund,43,39,34,11,14
70,2006,FC Barcelona,91,43,50,30,12
71,2006,FC Internazionale,80,40,49,31,10
72,2006,Juventus FC,37,21,25,13,10
73,2006,Manchester City,33,50,39,12,5
74,2006,Manchester United,89,35,45,33,5
75,2006,Paris Saint-Germain,47,48,43,10,19
76,2006,FC Red Bull Salzburg,6,9,6,2,1
77,2006,Real Madrid,81,44,45,24,13
78,2006,Sporting CP,52,23,38,24,7
79,2007,AC Milan,83,44,48,25,14
80,2007,Ajax Amsterdam,98,52,41,23,9
81,2007,Borussia Dortmund,46,52,34,13,4
82,2007,FC Barcelona,90,39,48,27,12
83,2007,FC Internazionale,93,34,45,33,10
84,2007,Juventus FC,35,15,17,10,5
85,2007,Manchester City,39,42,37,14,10
86,2007,Manchester United,99,37,49,34,7
87,2007,Paris Saint-Germain,47,42,43,16,12
88,2007,FC Red Bull Salzburg,10,6,6,4,0
89,2007,Real Madrid,94,53,47,30,9
90,2007,Sporting CP,63,26,36,19,12
91,2008,AC Milan,85,52,49,28,10
92,2008,Ajax Amsterdam,106,46,44,29,7
93,2008,Borussia Dortmund,53,53,36,12,15
94,2008,FC Barcelona,120,52,51,31,10
95,2008,FC Internazionale,71,38,46,27,11
96,2008,Juventus FC,79,39,46,25,14
97,2008,Manchester City,71,69,48,18,9
98,2008,Manchester United,89,28,50,30,15
99,2008,Paris Saint-Germain,54,48,44,17,12
100,2008,FC Red Bull Salzburg,14,6,6,3,0
101,2008,Real Madrid,92,57,45,27,4
102,2008,Sporting CP,53,34,40,23,6
103,2009,AC Milan,76,44,45,23,14
104,2009,Ajax Amsterdam,106,51,46,27,9
105,2009,Borussia Dortmund,56,35,34,16,12
106,2009,FC Barcelona,115,42,51,33,13
107,2009,FC Internazionale,82,43,46,26,13
108,2009,Juventus FC,75,55,46,21,14
109,2009,Manchester City,67,56,43,21,10
110,2009,Manchester United,103,43,53,39,5
111,2009,Paris Saint-Germain,62,43,44,20,11
112,2009,FC Red Bull Salzburg,15,10,12,8,2
113,2009,Real Madrid,104,51,45,32,3
114,2009,Sporting CP,59,46,44,21,16
115,2010,AC Milan,75,49,47,24,11
116,2010,Ajax Amsterdam,104,40,47,28,12
117,2010,Borussia Dortmund,85,42,42,26,7
118,2010,FC Barcelona,140,34,51,40,8
119,2010,FC Internazionale,81,50,50,27,13
120,2010,Juventus FC,76,66,52,21,18
121,2010,Manchester City,81,40,47,25,12
122,2010,Manchester United,98,34,46,30,13
123,2010,Paris Saint-Germain,63,57,46,16,16
124,2010,FC Red Bull Salzburg,16,19,14,2,5
125,2010,Real Madrid,117,38,47,37,6
126,2010,Sporting CP,73,41,44,23,9
127,2011,AC Milan,82,36,45,25,15
128,2011,Ajax Amsterdam,92,46,43,25,10
129,2011,Borussia Dortmund,69,36,40,20,10
130,2011,FC Barcelona,132,30,52,38,11
131,2011,FC Internazionale,85,64,49,29,5
132,2011,Juventus FC,52,41,37,16,13
133,2011,Manchester City,94,40,46,29,8
134,2011,Manchester United,111,51,52,34,10
135,2011,Paris Saint-Germain,75,49,50,24,16
136,2011,FC Red Bull Salzburg,21,11,12,7,2
137,2011,Real Madrid,148,42,50,38,6
138,2011,Sporting CP,60,38,39,19,11
139,2012,AC Milan,85,55,50,25,10
140,2012,Ajax Amsterdam,99,52,43,26,9
141,2012,Borussia Dortmund,91,38,40,27,10
142,2012,FC Barcelona,147,51,51,40,7
143,2012,FC Internazionale,86,70,52,26,10
144,2012,Juventus FC,92,24,46,31,13
145,2012,Manchester City,94,48,50,29,11
146,2012,Manchester United,105,57,49,35,3
147,2012,Paris Saint-Germain,94,39,44,27,11
148,2012,FC Red Bull Salzburg,5,12,4,1,0
149,2012,Real Madrid,137,50,51,36,9
150,2012,Sporting CP,54,51,45,18,13
151,2013,AC Milan,72,49,47,21,17
152,2013,Ajax Amsterdam,89,38,42,26,9
153,2013,Borussia Dortmund,108,57,47,28,7
154,2013,FC Barcelona,130,50,50,36,7
155,2013,FC Internazionale,71,63,41,16,11
156,2013,Juventus FC,85,37,47,31,8
157,2013,Manchester City,100,46,43,29,5
158,2013,Manchester United,82,43,45,26,11
159,2013,Paris Saint-Germain,99,34,48,32,12
160,2013,FC Red Bull Salzburg,24,7,10,8,1
161,2013,Real Madrid,142,60,50,37,8
162,2013,Sporting CP,58,30,32,19,6
163,2014,AC Milan,58,46,39,18,9
164,2014,Ajax Amsterdam,80,44,41,22,12
165,2014,Borussia Dortmund,81,55,44,22,7
166,2014,FC Barcelona,112,36,47,31,8
167,2014,FC Internazionale,65,43,45,17,17
168,2014,Juventus FC,92,27,51,38,8
169,2014,Manchester City,99,45,46,29,9
170,2014,Manchester United,70,46,42,20,10
171,2014,Paris Saint-Germain,91,34,48,31,12
172,2014,FC Red Bull Salzburg,33,17,14,9,2
173,2014,Real Madrid,149,37,50,40,4
174,2014,Sporting CP,59,35,36,19,11
175,2015,AC Milan,55,53,39,15,10
176,2015,Ajax Amsterdam,88,36,48,27,13
177,2015,Borussia Dortmund,104,54,46,28,7
178,2015,FC Barcelona,145,43,52,41,6
179,2015,FC Internazionale,63,44,43,21,11
180,2015,Juventus FC,82,40,52,31,13
181,2015,Manchester City,92,52,46,26,6
182,2015,Manchester United,65,42,46,22,12
183,2015,Paris Saint-Germain,115,41,48,34,9
184,2015,FC Red Bull Salzburg,6,10,6,2,0
185,2015,Real Madrid,135,51,52,35,8
186,2015,Sporting CP,82,41,44,30,8
187,2016,AC Milan,52,42,38,17,11
188,2016,Ajax Amsterdam,87,36,44,28,13
189,2016,Borussia Dortmund,103,45,45,27,13
190,2016,FC Barcelona,140,38,48,35,6
191,2016,FC Internazionale,62,59,45,20,7
192,2016,Juventus FC,98,28,46,37,4
193,2016,Manchester City,97,56,52,26,15
194,2016,Manchester United,75,48,48,26,10
195,2016,Paris Saint-Germain,111,37,48,31,10
196,2016,FC Red Bull Salzburg,14,9,12,6,2
197,2016,Real Madrid,133,47,50,36,12
198,2016,Sporting CP,86,39,43,26,6
199,2017,AC Milan,77,58,50,22,12
200,2017,Ajax Amsterdam,116,45,48,31,7
201,2017,Borussia Dortmund,90,65,45,20,10
202,2017,FC Barcelona,135,37,49,37,8
203,2017,FC Internazionale,78,42,39,22,7
204,2017,Juventus FC,107,38,53,38,9
205,2017,Manchester City,122,41,48,36,8
206,2017,Manchester United,94,35,56,32,17
207,2017,Paris Saint-Germain,133,37,46,37,5
208,2017,FC Red Bull Salzburg,21,3,12,7,5
209,2017,Real Madrid,135,57,53,38,7
210,2017,Sporting CP,88,42,42,27,9
211,2018,AC Milan,75,49,48,24,14
212,2018,Ajax Amsterdam,119,33,45,34,8
213,2018,Borussia Dortmund,84,48,44,25,12
214,2018,FC Barcelona,124,51,48,31,13
215,2018,FC Internazionale,69,37,44,22,12
216,2018,Juventus FC,92,31,48,38,6
217,2018,Manchester City,121,44,47,33,5
218,2018,Manchester United,74,50,45,25,8
219,2018,Paris Saint-Germain,119,38,44,31,8
220,2018,FC Red Bull Salzburg,37,20,18,12,4
221,2018,Real Madrid,118,67,52,31,9
222,2018,Sporting CP,84,41,45,29,6
223,2019,AC Milan,29,16,19,11,4
224,2019,Ajax Amsterdam,70,32,23,16,2
225,2019,Borussia Dortmund,37,30,19,10,4
226,2019,FC Barcelona,54,22,27,19,6
227,2019,FC Internazionale,31,20,23,10,7
228,2019,Juventus FC,37,24,23,12,5
229,2019,Manchester City,55,13,22,20,0
230,2019,Manchester United,27,29,22,10,4
231,2019,Paris Saint-Germain,58,28,23,15,2
232,2019,FC Red Bull Salzburg,8,6,4,2,0
233,2019,Real Madrid,42,32,24,13,3
234,2019,Sporting CP,43,20,22,13,5
